code	ccd_comp_id	anomer	config	sugar	ring	linkage	method	onebead_target	identity	status
4JU		beta	D	tagato	furanose	4	undecoded			UNSUPPORTED_ONEBEAD
4KA	4GL	alpha	D	gulo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4KB	GL0	beta	D	gulo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4LA	GLA	alpha	D	galacto	pyranose	4	ccd_name_index	GAL	alpha-D-Galp	SUPPORTED_ONEBEAD
4LB	GAL	beta	D	galacto	pyranose	4	ccd_name_index	GAL	beta-D-Galp	SUPPORTED_ONEBEAD
4MA	MAN	alpha	D	manno	pyranose	4	ccd_name_index	MAN	alpha-D-Manp	SUPPORTED_ONEBEAD
4MB	BMA	beta	D	manno	pyranose	4	ccd_name_index	BMA	beta-D-Manp	SUPPORTED_ONEBEAD
4NA	AFD	alpha	D	allo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4NB	ALL	beta	D	allo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4OA	ADA	alpha	D	galacto	pyranuronic acid	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4OB	GTR	beta	D	galacto	pyranuronic acid	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4PA		alpha	D	psico	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4PB		beta	D	psico	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4PD	PSV	alpha	D	psico	furanose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4PU	TTV	beta	D	psico	furanose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4QA	G6D	alpha	D	quinovo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4QB	YYK	beta	D	quinovo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4RA	YYM	alpha	D	ribo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4RB	RIP	beta	D	ribo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4SA	SIA	alpha	D	neuraminic	pyranose	4	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
4SB	SLB	beta	D	neuraminic	pyranose	4	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
4TA		alpha	D	talo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4TB	SDY	beta	D	talo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4UA		alpha	D	ido	pyranuronic acid	4	undecoded			UNSUPPORTED_ONEBEAD
4UB		beta	D	ido	pyranuronic acid	4	undecoded			UNSUPPORTED_ONEBEAD
4VA	A2G	alpha	D	galacto	pyranose	4	ccd_name_index	NGA	alpha-D-GalNAcp	SUPPORTED_ONEBEAD
4VB	NGA	beta	D	galacto	pyranose	4	ccd_name_index	NGA	beta-D-GalNAcp	SUPPORTED_ONEBEAD
4WA	BM3	alpha	D	manno	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4WB	BM7	beta	D	manno	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4XA	XYS	alpha	D	xylo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4XB	HSZ	beta	D	xylo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4YA	NDG	alpha	D	gluco	pyranose	4	ccd_name_index	NAG	alpha-D-GlcNAcp	SUPPORTED_ONEBEAD
4YB	NAG	beta	D	gluco	pyranose	4	ccd_name_index	NAG	beta-D-GlcNAcp	SUPPORTED_ONEBEAD
4ZA	GCU	alpha	D	gluco	pyranuronic acid	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4ZB	BDP	beta	D	gluco	pyranuronic acid	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4aA	ARA	alpha	L	arabino	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4aB	ARB	beta	L	arabino	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4bA	SOE	alpha	L	sorbo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4bB		beta	L	sorbo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4bD		alpha	L	sorbo	furanose	4	undecoded			UNSUPPORTED_ONEBEAD
4bU		beta	L	sorbo	furanose	4	undecoded			UNSUPPORTED_ONEBEAD
4cA		alpha	L	fructo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4cB		beta	L	fructo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4cD		alpha	L	fructo	furanose	4	undecoded			UNSUPPORTED_ONEBEAD
4cU	LFR	beta	L	fructo	furanose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4dA		alpha	L	lyxo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4dB		beta	L	lyxo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4eA	Z6H	alpha	L	altro	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4eB	3MK	beta	L	altro	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4fA	FUC	alpha	L	fuco	pyranose	4	ccd_name_index	FUC	alpha-L-Fucp	SUPPORTED_ONEBEAD
4fB	FUL	beta	L	fuco	pyranose	4	ccd_name_index	FUC	beta-L-Fucp	SUPPORTED_ONEBEAD
4gA		alpha	L	gluco	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4gB	Z8T	beta	L	gluco	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4hA	RAM	alpha	L	rhamno	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4hB	RM4	beta	L	rhamno	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4jA		alpha	L	tagato	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4jB		beta	L	tagato	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4jD		alpha	L	tagato	furanose	4	undecoded			UNSUPPORTED_ONEBEAD
4jU		beta	L	tagato	furanose	4	undecoded			UNSUPPORTED_ONEBEAD
4kA	GUP	alpha	L	gulo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4kB	Z8H	beta	L	gulo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4lA	GXL	alpha	L	galacto	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4lB	GIV	beta	L	galacto	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4mA		alpha	L	manno	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4mB		beta	L	manno	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
